crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
10,0,health,21,0,1700764587870879595
10,0,education,21,0,1700764587870879595
10,0,Agriculture,21,0,1700764587870879595
10,0,technology,21,0,1700764587870879595
10,0,transport,21,0,1700764587870879595
10,0,climate_environment,21,0,1700764587870879595
10,0,finance,21,0,1700764587870879595
20,0,health,21,18.0,1700764601163437295
20,1,education,21,18.0,1700764601163437295
20,0,Agriculture,21,18.0,1700764601163437295
20,0,technology,21,18.0,1700764601163437295
20,0,transport,21,18.0,1700764601163437295
20,0,climate_environment,21,18.0,1700764601163437295
20,0,finance,21,18.0,1700764601163437295
30,0,health,21,11.5,1700764611372688523
30,1,education,21,11.5,1700764611372688523
30,0,Agriculture,21,11.5,1700764611372688523
30,1,technology,21,11.5,1700764611372688523
30,0,transport,21,11.5,1700764611372688523
30,0,climate_environment,21,11.5,1700764611372688523
30,0,finance,21,11.5,1700764611372688523
40,0,health,21,11.5,1700764623328874091
40,1,education,21,11.5,1700764623328874091
40,0,Agriculture,21,11.5,1700764623328874091
40,1,technology,21,11.5,1700764623328874091
40,0,transport,21,11.5,1700764623328874091
40,0,climate_environment,21,11.5,1700764623328874091
40,0,finance,21,11.5,1700764623328874091
50,0,health,21,11.5,1700764632162443722
50,1,education,21,11.5,1700764632162443722
50,0,Agriculture,21,11.5,1700764632162443722
50,1,technology,21,11.5,1700764632162443722
50,0,transport,21,11.5,1700764632162443722
50,0,climate_environment,21,11.5,1700764632162443722
50,0,finance,21,11.5,1700764632162443722
60,0,health,21,13.25,1700764641393413710
60,1,education,21,13.25,1700764641393413710
60,0,Agriculture,21,13.25,1700764641393413710
60,1,technology,21,13.25,1700764641393413710
60,0,transport,21,13.25,1700764641393413710
60,0,climate_environment,21,13.25,1700764641393413710
60,2,finance,21,13.25,1700764641393413710
70,0,health,21,11.333333333333334,1700764651661368096
70,1,education,21,11.333333333333334,1700764651661368096
70,0,Agriculture,21,11.333333333333334,1700764651661368096
70,1,technology,21,11.333333333333334,1700764651661368096
70,0,transport,21,11.333333333333334,1700764651661368096
70,2,climate_environment,21,11.333333333333334,1700764651661368096
70,2,finance,21,11.333333333333334,1700764651661368096
80,0,health,21,9.875,1700764661172823629
80,1,education,21,9.875,1700764661172823629
80,0,Agriculture,21,9.875,1700764661172823629
80,1,technology,21,9.875,1700764661172823629
80,0,transport,21,9.875,1700764661172823629
80,2,climate_environment,21,9.875,1700764661172823629
80,4,finance,21,9.875,1700764661172823629
90,0,health,21,9.875,1700764671445012354
90,1,education,21,9.875,1700764671445012354
90,0,Agriculture,21,9.875,1700764671445012354
90,1,technology,21,9.875,1700764671445012354
90,0,transport,21,9.875,1700764671445012354
90,2,climate_environment,21,9.875,1700764671445012354
90,4,finance,21,9.875,1700764671445012354
100,0,health,21,11.0,1700764684067610443
100,1,education,21,11.0,1700764684067610443
100,0,Agriculture,21,11.0,1700764684067610443
100,1,technology,21,11.0,1700764684067610443
100,0,transport,21,11.0,1700764684067610443
100,2,climate_environment,21,11.0,1700764684067610443
100,5,finance,21,11.0,1700764684067610443
110,0,health,21,11.0,1700764694768145095
110,1,education,21,11.0,1700764694768145095
110,0,Agriculture,21,11.0,1700764694768145095
110,1,technology,21,11.0,1700764694768145095
110,0,transport,21,11.0,1700764694768145095
110,2,climate_environment,21,11.0,1700764694768145095
110,5,finance,21,11.0,1700764694768145095
120,0,health,21,10.454545454545455,1700764703598801391
120,1,education,21,10.454545454545455,1700764703598801391
120,0,Agriculture,21,10.454545454545455,1700764703598801391
120,1,technology,21,10.454545454545455,1700764703598801391
120,0,transport,21,10.454545454545455,1700764703598801391
120,2,climate_environment,21,10.454545454545455,1700764703598801391
120,7,finance,21,10.454545454545455,1700764703598801391
130,0,health,21,10.666666666666666,1700764716322726888
130,1,education,21,10.666666666666666,1700764716322726888
130,0,Agriculture,21,10.666666666666666,1700764716322726888
130,1,technology,21,10.666666666666666,1700764716322726888
130,0,transport,21,10.666666666666666,1700764716322726888
130,3,climate_environment,21,10.666666666666666,1700764716322726888
130,7,finance,21,10.666666666666666,1700764716322726888
140,0,health,21,10.666666666666666,1700764724570718951
140,1,education,21,10.666666666666666,1700764724570718951
140,0,Agriculture,21,10.666666666666666,1700764724570718951
140,1,technology,21,10.666666666666666,1700764724570718951
140,0,transport,21,10.666666666666666,1700764724570718951
140,3,climate_environment,21,10.666666666666666,1700764724570718951
140,7,finance,21,10.666666666666666,1700764724570718951
150,0,health,21,9.125,1700764734854047387
